Topic,Category2,Date,Sentiment,Sentiment_YoY_Growth,Frequency,Frequency_YoY_Growth,Trending_Score,Perspective,Category1,Country,Novelty_Score
#arcade,ginger ale,last year,0.0,-0.9838788,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#wherelongislandgetsengaged,ginger ale,last year,0.8443,84.43,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
@nypost,ginger ale,last 6 month,0.0,-0.97306037,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
Abraham,ginger ale,last year,0.0,0.0,2,2.0,0.0,Brand,Beverage,Canada,8.834928
Cheese,ginger ale,last 6 month,0.0,-0.90966576,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Cold Water,ginger ale,last year,0.0,-1.1488096,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Ginger Ale,ginger ale,last 6 month,0.21910588,-0.2414047,21,0.29411766,0.0,Ingredient,Beverage,Canada,8.589969
#RefreshingByNature,soda,last 6 month,0.0,-0.986969,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#giveaway,soda,last 6 month,0.68,68.0,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
#sparklingwater,soda,last year,0.4404,-0.066335,2,-0.25,0.0,Hashtag,Beverage,Canada,7.6868787
Bacon,soda,last year,-0.296,-29.6,0,-0.75,0.0,Ingredient,Beverage,Canada,8.589969
Cherry,soda,last 3 month,0.6124,61.239998,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
Ice,soda,last year,0.0,0.0,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
Ice Cream,soda,last 6 month,0.8388,83.880005,0,-0.75,0.0,Ingredient,Beverage,Canada,8.589969
Juice,soda,last 3 month,0.3612,-1.7671007,2,-0.25,0.0,Ingredient,Beverage,Canada,8.589969
#TalkAt9,tonic,last year,0.5267,52.670002,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
#bluehenntonic,tonic,last 6 month,0.0,0.0,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#developerlife,tonic,last 6 month,0.6369,63.690002,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
#gin&tonic,tonic,last 6 month,0.0,0.0,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@michellevisage,tonic,last month,-0.2942,-29.42,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
Gin,tonic,last month,-0.65926665,-65.92667,0,-0.8,0.0,Ingredient,Beverage,Canada,8.589969
Rosemary,tonic,last year,0.0,-1.0423371,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
#CherryCoke,ginger ale,last year,0.7184,71.84,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
#djent,ginger ale,last year,0.5067,50.67,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
@Wendys,ginger ale,last year,0.0,-0.9897162,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
Alfredo,ginger ale,last 3 month,0.0,-0.9786689,2,2.0,0.0,Brand,Beverage,Canada,8.834928
Cranberry Juice,ginger ale,last 3 month,0.0,-1.1488096,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Creamy,ginger ale,last year,0.0,-0.9786689,2,2.0,0.0,Motivation,Beverage,Canada,8.834928
Flavoring,ginger ale,last year,0.0,0.0,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Sweet Pickles,ginger ale,last 6 month,0.0,-0.90966576,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Wine,ginger ale,last year,0.0,-0.9838788,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
#Obesity,soda,last year,0.0,-1.0379939,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
Apple,soda,last year,-0.7351,-1.8814733,2,0.0,0.0,Ingredient,Beverage,Canada,8.834928
Basil,soda,last year,0.0,0.0,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Cheddar Cheese,soda,last year,0.8743,87.43,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
Chocolate,soda,last year,0.0,-1.01104,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Fresh Mint,soda,last year,0.0,-0.98968965,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
